subject,muscle_pair,phase,sec,value
subject_541,CCI_SCML_SCMR,Cooldown,0.9997941,0.6853609040674299
subject_541,CCI_SCML_SCMR,SecondThreshold,0.9997941,0.8351463798645645
subject_541,CCI_SCML_SCMR,VO2max,0.9997941,0.9937649904071904
subject_541,CCI_SCML_SCMR,WanT,0.9997941,0.8407595106165332
subject_541,CCI_SCML_SCMR,Warmup,0.9997941,0.7180600721586334
subject_560,CCI_SCML_SCMR,Cooldown,0.9997941,0.8386222433781537
subject_560,CCI_SCML_SCMR,SecondThreshold,0.9997941,0.690227418639297
subject_560,CCI_SCML_SCMR,VO2max,0.9997941,0.8373417109485534
subject_560,CCI_SCML_SCMR,WanT,0.9997941,0.8796994095427336
subject_560,CCI_SCML_SCMR,Warmup,0.9997941,0.5321926524870625
subject_570,CCI_SCML_SCMR,Cooldown,0.9997941,0.9051567004576928
subject_570,CCI_SCML_SCMR,SecondThreshold,0.9997941,0.8813011593950962
subject_570,CCI_SCML_SCMR,VO2max,0.9997941,0.8129279525083792
subject_570,CCI_SCML_SCMR,WanT,0.9997941,0.9872082232305812
subject_570,CCI_SCML_SCMR,Warmup,0.9997941,0.8383508497234715
subject_571,CCI_SCML_SCMR,Cooldown,0.9997941,0.9787844310234252
subject_571,CCI_SCML_SCMR,SecondThreshold,0.9997941,0.8063970817958213
subject_571,CCI_SCML_SCMR,VO2max,0.9997941,0.9564104514629724
subject_571,CCI_SCML_SCMR,WanT,0.9997941,0.4461704867512297
subject_571,CCI_SCML_SCMR,Warmup,0.9997941,0.9714709717547426
subject_572,CCI_SCML_SCMR,Cooldown,0.9997941,0.9747897918754828
subject_572,CCI_SCML_SCMR,SecondThreshold,0.9997941,0.8370964214659447
subject_572,CCI_SCML_SCMR,VO2max,0.9997941,0.9407836288680732
subject_572,CCI_SCML_SCMR,WanT,0.9997941,0.8242894875617496
subject_572,CCI_SCML_SCMR,Warmup,0.9997941,0.9404509141949002
subject_573,CCI_SCML_SCMR,Cooldown,0.9997941,0.8849816520249997
subject_573,CCI_SCML_SCMR,SecondThreshold,0.9997941,0.8105448799708451
