subject,muscle_pair,phase,sec,value
subject_541,CCI_SCML_STL,Cooldown,0.9997941,0.9102903163078157
subject_541,CCI_SCML_STL,SecondThreshold,0.9997941,0.9145653112107552
subject_541,CCI_SCML_STL,VO2max,0.9997941,0.8650427749426876
subject_541,CCI_SCML_STL,WanT,0.9997941,0.9526668991791968
subject_541,CCI_SCML_STL,Warmup,0.9997941,0.9900601992013204
subject_560,CCI_SCML_STL,Cooldown,0.9997941,0.6939846101691247
subject_560,CCI_SCML_STL,SecondThreshold,0.9997941,0.9670603401913128
subject_560,CCI_SCML_STL,VO2max,0.9997941,0.9358150421829564
subject_560,CCI_SCML_STL,WanT,0.9997941,0.9295477754518586
subject_560,CCI_SCML_STL,Warmup,0.9997941,0.8776986870866149
subject_570,CCI_SCML_STL,Cooldown,0.9997941,0.2686427576409689
subject_570,CCI_SCML_STL,SecondThreshold,0.9997941,0.3460006923721287
subject_570,CCI_SCML_STL,VO2max,0.9997941,0.6570676753006969
subject_570,CCI_SCML_STL,WanT,0.9997941,0.6868484405937378
subject_570,CCI_SCML_STL,Warmup,0.9997941,0.9573152781091891
subject_571,CCI_SCML_STL,Cooldown,0.9997941,0.7644035554595273
subject_571,CCI_SCML_STL,SecondThreshold,0.9997941,0.9804646052145364
subject_571,CCI_SCML_STL,VO2max,0.9997941,0.7072964898976032
subject_571,CCI_SCML_STL,WanT,0.9997941,0.5426284911523342
subject_571,CCI_SCML_STL,Warmup,0.9997941,0.8176942870736006
subject_572,CCI_SCML_STL,Cooldown,0.9997941,0.9506655938159404
subject_572,CCI_SCML_STL,SecondThreshold,0.9997941,0.9280637277288108
subject_572,CCI_SCML_STL,VO2max,0.9997941,0.8044104736906527
subject_572,CCI_SCML_STL,WanT,0.9997941,0.7841791696703602
subject_572,CCI_SCML_STL,Warmup,0.9997941,0.9221425290871912
subject_573,CCI_SCML_STL,Cooldown,0.9997941,0.9378113561422482
subject_573,CCI_SCML_STL,SecondThreshold,0.9997941,0.2217004670637241
subject_573,CCI_SCML_STL,VO2max,0.9997941,0.1487492898143623
subject_573,CCI_SCML_STL,WanT,0.9997941,0.6558464462387944
subject_573,CCI_SCML_STL,Warmup,0.9997941,0.3856868565826116
subject_574,CCI_SCML_STL,Cooldown,0.9997941,0.6276591405429006
