subject,muscle_pair,phase,sec,value
subject_541,CCI_SCML_UTL,Cooldown,0.9997941,0.6980745115587166
subject_541,CCI_SCML_UTL,SecondThreshold,0.9997941,0.8369627045615946
subject_541,CCI_SCML_UTL,VO2max,0.9997941,0.7114675476898027
subject_541,CCI_SCML_UTL,WanT,0.9997941,0.9930664008863216
subject_541,CCI_SCML_UTL,Warmup,0.9997941,0.9370632920251668
subject_560,CCI_SCML_UTL,Cooldown,0.9997941,0.330028954816394
subject_560,CCI_SCML_UTL,SecondThreshold,0.9997941,0.6475098285018465
subject_560,CCI_SCML_UTL,VO2max,0.9997941,0.4167085345113711
subject_560,CCI_SCML_UTL,WanT,0.9997941,0.9628186853905356
subject_560,CCI_SCML_UTL,Warmup,0.9997941,0.5151752575167812
subject_570,CCI_SCML_UTL,Cooldown,0.9997941,0.6900702600143834
subject_570,CCI_SCML_UTL,SecondThreshold,0.9997941,0.7332809558689385
subject_570,CCI_SCML_UTL,VO2max,0.9997941,0.5436556033082892
subject_570,CCI_SCML_UTL,WanT,0.9997941,0.2494811845014409
subject_570,CCI_SCML_UTL,Warmup,0.9997941,0.9670793950685668
subject_571,CCI_SCML_UTL,Cooldown,0.9997941,0.4635861262473004
subject_571,CCI_SCML_UTL,SecondThreshold,0.9997941,0.9644094097840824
subject_571,CCI_SCML_UTL,VO2max,0.9997941,0.8054246980291345
subject_571,CCI_SCML_UTL,WanT,0.9997941,0.6151833113620908
subject_571,CCI_SCML_UTL,Warmup,0.9997941,0.8645693026099531
subject_572,CCI_SCML_UTL,Cooldown,0.9997941,0.2345328020825571
subject_572,CCI_SCML_UTL,SecondThreshold,0.9997941,0.5167630902112823
subject_572,CCI_SCML_UTL,VO2max,0.9997941,0.2645793329346326
subject_572,CCI_SCML_UTL,WanT,0.9997941,0.2935242211472267
subject_572,CCI_SCML_UTL,Warmup,0.9997941,0.8740965774300017
subject_573,CCI_SCML_UTL,Cooldown,0.9997941,0.5677966047738551
subject_573,CCI_SCML_UTL,SecondThreshold,0.9997941,0.7850812077987325
subject_573,CCI_SCML_UTL,VO2max,0.9997941,0.6631406891891619
subject_573,CCI_SCML_UTL,WanT,0.9997941,0.6062893952205766
subject_573,CCI_SCML_UTL,Warmup,0.9997941,0.1856077757959177
subject_574,CCI_SCML_UTL,Cooldown,0.9997941,0.1280000625563336
subject_574,CCI_SCML_UTL,SecondThreshold,0.9997941,0.8215509359888689
subject_574,CCI_SCML_UTL,VO2max,0.9997941,0.5607996866773178
subject_574,CCI_SCML_UTL,WanT,0.9997941,0.2110247111645518
subject_574,CCI_SCML_UTL,Warmup,0.9997941,0.6604878366450823
subject_575,CCI_SCML_UTL,Cooldown,0.9997941,0.774747943525329
subject_575,CCI_SCML_UTL,SecondThreshold,0.9997941,0.9759296404131562
subject_575,CCI_SCML_UTL,VO2max,0.9997941,0.5589235450098096
subject_575,CCI_SCML_UTL,WanT,0.9997941,0.7787306592108763
subject_575,CCI_SCML_UTL,Warmup,0.9997941,0.3992728891410214
subject_577,CCI_SCML_UTL,Cooldown,0.9997941,0.912626948748288
subject_577,CCI_SCML_UTL,SecondThreshold,0.9997941,0.3680974569722921
subject_577,CCI_SCML_UTL,VO2max,0.9997941,0.1641597398798013
subject_577,CCI_SCML_UTL,WanT,0.9997941,0.412858706668898
subject_577,CCI_SCML_UTL,Warmup,0.9997941,0.9433835961044136
subject_578,CCI_SCML_UTL,Cooldown,0.9997941,0.9427632472620616
subject_578,CCI_SCML_UTL,SecondThreshold,0.9997941,0.5410163673571085
subject_578,CCI_SCML_UTL,VO2max,0.9997941,0.954897913478665
subject_578,CCI_SCML_UTL,WanT,0.9997941,0.5482926860743198
subject_578,CCI_SCML_UTL,Warmup,0.9997941,0.8415008759784998
subject_579,CCI_SCML_UTL,Cooldown,0.9997941,0.3301457520022977
subject_579,CCI_SCML_UTL,SecondThreshold,0.9997941,0.8914360950470653
subject_579,CCI_SCML_UTL,VO2max,0.9997941,0.6820374002529108
subject_579,CCI_SCML_UTL,WanT,0.9997941,0.4107019647720418
subject_579,CCI_SCML_UTL,Warmup,0.9997941,0.3897980732704642
subject_580,CCI_SCML_UTL,Cooldown,0.9997941,0.747736954133758
subject_580,CCI_SCML_UTL,SecondThreshold,0.9997941,0.7805713022380255
subject_580,CCI_SCML_UTL,VO2max,0.9997941,0.6910801395412124
subject_580,CCI_SCML_UTL,WanT,0.9997941,0.5638846274546616
subject_580,CCI_SCML_UTL,Warmup,0.9997941,0.7088735967331521
