subject,muscle_pair,phase,sec,value
subject_541,CCI_SCMR_MTR,Cooldown,0.9997941,0.9591836267707314
subject_541,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.7497566827382722
subject_541,CCI_SCMR_MTR,VO2max,0.9997941,0.7633337157251227
subject_541,CCI_SCMR_MTR,WanT,0.9997941,0.5788506028677913
subject_541,CCI_SCMR_MTR,Warmup,0.9997941,0.7090252022577699
subject_560,CCI_SCMR_MTR,Cooldown,0.9997941,0.981336533821309
subject_560,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.8877091119711709
subject_560,CCI_SCMR_MTR,VO2max,0.9997941,0.8322334654125413
subject_560,CCI_SCMR_MTR,WanT,0.9997941,0.5692914637166664
subject_560,CCI_SCMR_MTR,Warmup,0.9997941,0.7146717730213
subject_570,CCI_SCMR_MTR,Cooldown,0.9997941,0.793754463767961
subject_570,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.7995141897448762
subject_570,CCI_SCMR_MTR,VO2max,0.9997941,0.9836729607689686
subject_570,CCI_SCMR_MTR,WanT,0.9997941,0.8340717729403019
subject_570,CCI_SCMR_MTR,Warmup,0.9997941,0.8983421915125271
subject_571,CCI_SCMR_MTR,Cooldown,0.9997941,0.0978857692788878
subject_571,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.9069678386982012
subject_571,CCI_SCMR_MTR,VO2max,0.9997941,0.92712127051905
subject_571,CCI_SCMR_MTR,WanT,0.9997941,0.2066633839534051
subject_571,CCI_SCMR_MTR,Warmup,0.9997941,0.9019993962290472
subject_572,CCI_SCMR_MTR,Cooldown,0.9997941,0.9850313055283586
subject_572,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.8421459146436364
subject_572,CCI_SCMR_MTR,VO2max,0.9997941,0.8581978015897661
subject_572,CCI_SCMR_MTR,WanT,0.9997941,0.8646649133096163
subject_572,CCI_SCMR_MTR,Warmup,0.9997941,0.7718200790120092
subject_573,CCI_SCMR_MTR,Cooldown,0.9997941,0.8685350431291773
subject_573,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.915534264577082
subject_573,CCI_SCMR_MTR,VO2max,0.9997941,0.512702891629534
subject_573,CCI_SCMR_MTR,WanT,0.9997941,0.2514943201898672
subject_573,CCI_SCMR_MTR,Warmup,0.9997941,0.8861439869492973
subject_574,CCI_SCMR_MTR,Cooldown,0.9997941,0.0457443553017926
subject_574,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.5735049939357687
subject_574,CCI_SCMR_MTR,VO2max,0.9997941,0.3465234199810024
subject_574,CCI_SCMR_MTR,WanT,0.9997941,0.014102122692426
subject_574,CCI_SCMR_MTR,Warmup,0.9997941,0.0838900897556113
subject_575,CCI_SCMR_MTR,Cooldown,0.9997941,0.5383593320907742
subject_575,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.9296933616516035
subject_575,CCI_SCMR_MTR,VO2max,0.9997941,0.9585846316659096
subject_575,CCI_SCMR_MTR,WanT,0.9997941,0.6022627099577132
subject_575,CCI_SCMR_MTR,Warmup,0.9997941,0.3650325055067202
subject_577,CCI_SCMR_MTR,Cooldown,0.9997941,0.1539272129986037
subject_577,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.2712151714141146
subject_577,CCI_SCMR_MTR,VO2max,0.9997941,0.1744089569853193
subject_577,CCI_SCMR_MTR,WanT,0.9997941,0.3284114916879493
subject_577,CCI_SCMR_MTR,Warmup,0.9997941,0.3678291789558342
subject_578,CCI_SCMR_MTR,Cooldown,0.9997941,0.8003830192039745
subject_578,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.7124194093891341
subject_578,CCI_SCMR_MTR,VO2max,0.9997941,0.90414670400869
subject_578,CCI_SCMR_MTR,WanT,0.9997941,0.7411306821570953
subject_578,CCI_SCMR_MTR,Warmup,0.9997941,0.5058825426297883
subject_579,CCI_SCMR_MTR,Cooldown,0.9997941,0.301248208172207
subject_579,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.6819553533444547
subject_579,CCI_SCMR_MTR,VO2max,0.9997941,0.6024739394206562
subject_579,CCI_SCMR_MTR,WanT,0.9997941,0.6015059016068598
subject_579,CCI_SCMR_MTR,Warmup,0.9997941,0.2575054737286326
subject_580,CCI_SCMR_MTR,Cooldown,0.9997941,0.5284006842528031
subject_580,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.7586821487247813
subject_580,CCI_SCMR_MTR,VO2max,0.9997941,0.7873659403889717
subject_580,CCI_SCMR_MTR,WanT,0.9997941,0.983671052903649
subject_580,CCI_SCMR_MTR,Warmup,0.9997941,0.8213610494517064
subject_581,CCI_SCMR_MTR,Cooldown,0.9997941,0.5224822086820838
subject_581,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.6504173314905038
subject_581,CCI_SCMR_MTR,VO2max,0.9997941,0.9252274833168024
subject_581,CCI_SCMR_MTR,WanT,0.9997941,0.9469025810704386
subject_581,CCI_SCMR_MTR,Warmup,0.9997941,0.6511276820932624
subject_582,CCI_SCMR_MTR,Cooldown,0.9997941,0.9401293250396136
subject_582,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.9946188730548884
subject_582,CCI_SCMR_MTR,VO2max,0.9997941,0.9173572130934232
subject_582,CCI_SCMR_MTR,WanT,0.9997941,0.9401293250396136
subject_582,CCI_SCMR_MTR,Warmup,0.9997941,0.9150439397780404
subject_583,CCI_SCMR_MTR,Cooldown,0.9997941,0.7609539944455194
subject_583,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.558816497231176
subject_583,CCI_SCMR_MTR,VO2max,0.9997941,0.5093170037021783
subject_583,CCI_SCMR_MTR,WanT,0.9997941,0.25959587493955
subject_583,CCI_SCMR_MTR,Warmup,0.9997941,0.8399047377617749
subject_584,CCI_SCMR_MTR,Cooldown,0.9997941,0.8432326479657376
subject_584,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.5438749482312749
subject_584,CCI_SCMR_MTR,VO2max,0.9997941,0.3283461214117274
subject_584,CCI_SCMR_MTR,WanT,0.9997941,0.2356266211129159
subject_584,CCI_SCMR_MTR,Warmup,0.9997941,0.4430404682531474
subject_585,CCI_SCMR_MTR,Cooldown,0.9997941,0.9117368954479572
subject_585,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.2726887059992128
subject_585,CCI_SCMR_MTR,VO2max,0.9997941,0.1946344931806276
subject_585,CCI_SCMR_MTR,WanT,0.9997941,0.054857780564411
subject_585,CCI_SCMR_MTR,Warmup,0.9997941,0.6046101858716592
subject_586,CCI_SCMR_MTR,Cooldown,0.9997941,0.9527650903719902
subject_586,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.2944235019079756
subject_586,CCI_SCMR_MTR,VO2max,0.9997941,0.3152618539387526
subject_586,CCI_SCMR_MTR,WanT,0.9997941,0.6522710339382216
subject_586,CCI_SCMR_MTR,Warmup,0.9997941,0.7634339945377552
subject_587,CCI_SCMR_MTR,Cooldown,0.9997941,0.8536098134115542
subject_587,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.8113588560376704
subject_587,CCI_SCMR_MTR,VO2max,0.9997941,0.8282656459168795
subject_587,CCI_SCMR_MTR,WanT,0.9997941,0.94950767354887
subject_587,CCI_SCMR_MTR,Warmup,0.9997941,0.9702222092144508
subject_588,CCI_SCMR_MTR,Cooldown,0.9997941,0.0650420364790485
subject_588,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.9237424868846716
subject_588,CCI_SCMR_MTR,VO2max,0.9997941,0.6334083162436609
subject_588,CCI_SCMR_MTR,WanT,0.9997941,0.9514165021991998
subject_588,CCI_SCMR_MTR,Warmup,0.9997941,0.5823456734547079
subject_590,CCI_SCMR_MTR,Cooldown,0.9997941,0.5077174007549696
subject_590,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.6863370909925574
subject_590,CCI_SCMR_MTR,VO2max,0.9997941,0.0951698350952138
subject_590,CCI_SCMR_MTR,WanT,0.9997941,0.8311034984168695
subject_590,CCI_SCMR_MTR,Warmup,0.9997941,0.9627477410992948
subject_591,CCI_SCMR_MTR,Cooldown,0.9997941,0.6553347364916983
subject_591,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.3872582675934754
subject_591,CCI_SCMR_MTR,VO2max,0.9997941,0.6632377769753203
subject_591,CCI_SCMR_MTR,WanT,0.9997941,0.5369966840183469
subject_591,CCI_SCMR_MTR,Warmup,0.9997941,0.8565839531740326
subject_594,CCI_SCMR_MTR,Cooldown,0.9997941,0.7686747729444836
subject_594,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.7646658206602895
subject_594,CCI_SCMR_MTR,VO2max,0.9997941,0.9789685507789976
subject_594,CCI_SCMR_MTR,WanT,0.9997941,0.9123626668512372
subject_594,CCI_SCMR_MTR,Warmup,0.9997941,0.9389376221930738
subject_595,CCI_SCMR_MTR,Cooldown,0.9997941,0.3621080778454959
subject_595,CCI_SCMR_MTR,SecondThreshold,0.9997941,0.8093699385148008
subject_595,CCI_SCMR_MTR,VO2max,0.9997941,0.7329944743521332
subject_595,CCI_SCMR_MTR,WanT,0.9997941,0.5714249306876965
subject_595,CCI_SCMR_MTR,Warmup,0.9997941,0.6152595239439268
subject_596,CCI_SCMR_MTR,Cooldown,0.9997941,0.5247324705571514
