subject,muscle_pair,phase,sec,value
subject_541,CCI_SCMR_STR,Cooldown,0.9997941,0.8308293830635909
subject_541,CCI_SCMR_STR,SecondThreshold,0.9997941,0.6508803571286799
subject_541,CCI_SCMR_STR,VO2max,0.9997941,0.7558006459793827
subject_541,CCI_SCMR_STR,WanT,0.9997941,0.675941689903292
subject_541,CCI_SCMR_STR,Warmup,0.9997941,0.8639663442882813
subject_560,CCI_SCMR_STR,Cooldown,0.9997941,0.9224280416577152
subject_560,CCI_SCMR_STR,SecondThreshold,0.9997941,0.4705370069400421
subject_560,CCI_SCMR_STR,VO2max,0.9997941,0.6131578369826051
subject_560,CCI_SCMR_STR,WanT,0.9997941,0.9745284607909284
subject_560,CCI_SCMR_STR,Warmup,0.9997941,0.7831981159573168
subject_570,CCI_SCMR_STR,Cooldown,0.9997941,0.4686033336208964
subject_570,CCI_SCMR_STR,SecondThreshold,0.9997941,0.5740210456562769
subject_570,CCI_SCMR_STR,VO2max,0.9997941,0.8429005009290595
subject_570,CCI_SCMR_STR,WanT,0.9997941,0.6352491124777091
subject_570,CCI_SCMR_STR,Warmup,0.9997941,0.8161664376216308
subject_571,CCI_SCMR_STR,Cooldown,0.9997941,0.7917084740244368
subject_571,CCI_SCMR_STR,SecondThreshold,0.9997941,0.6728073359568517
subject_571,CCI_SCMR_STR,VO2max,0.9997941,0.4964386103167451
subject_571,CCI_SCMR_STR,WanT,0.9997941,0.6429683278198731
subject_571,CCI_SCMR_STR,Warmup,0.9997941,0.7593672527931987
subject_572,CCI_SCMR_STR,Cooldown,0.9997941,0.6377755996837476
subject_572,CCI_SCMR_STR,SecondThreshold,0.9997941,0.6552791845218688
subject_572,CCI_SCMR_STR,VO2max,0.9997941,0.6271347033488422
subject_572,CCI_SCMR_STR,WanT,0.9997941,0.574327604497039
subject_572,CCI_SCMR_STR,Warmup,0.9997941,0.5404446515933921
subject_573,CCI_SCMR_STR,Cooldown,0.9997941,0.97187520483067
subject_573,CCI_SCMR_STR,SecondThreshold,0.9997941,0.6099109663503361
subject_573,CCI_SCMR_STR,VO2max,0.9997941,0.451872433621651
subject_573,CCI_SCMR_STR,WanT,0.9997941,0.3034035139720311
subject_573,CCI_SCMR_STR,Warmup,0.9997941,0.6097882182906427
subject_574,CCI_SCMR_STR,Cooldown,0.9997941,0.3996721603724327
subject_574,CCI_SCMR_STR,SecondThreshold,0.9997941,0.567028888535414
subject_574,CCI_SCMR_STR,VO2max,0.9997941,0.8957225463330162
subject_574,CCI_SCMR_STR,WanT,0.9997941,0.0545611584621305
subject_574,CCI_SCMR_STR,Warmup,0.9997941,0.2715898250983559
subject_575,CCI_SCMR_STR,Cooldown,0.9997941,0.9989371996045502
subject_575,CCI_SCMR_STR,SecondThreshold,0.9997941,0.3986818355971538
subject_575,CCI_SCMR_STR,VO2max,0.9997941,0.6752348734809467
subject_575,CCI_SCMR_STR,WanT,0.9997941,0.8552949375147165
subject_575,CCI_SCMR_STR,Warmup,0.9997941,0.7161693627574288
subject_577,CCI_SCMR_STR,Cooldown,0.9997941,0.9625597614283964
subject_577,CCI_SCMR_STR,SecondThreshold,0.9997941,0.7566155640416077
subject_577,CCI_SCMR_STR,VO2max,0.9997941,0.8965499231995798
subject_577,CCI_SCMR_STR,WanT,0.9997941,0.8354230267918623
subject_577,CCI_SCMR_STR,Warmup,0.9997941,0.8415665410201743
subject_578,CCI_SCMR_STR,Cooldown,0.9997941,0.6252723362465169
subject_578,CCI_SCMR_STR,SecondThreshold,0.9997941,0.5889987243727594
subject_578,CCI_SCMR_STR,VO2max,0.9997941,0.6619329636907227
subject_578,CCI_SCMR_STR,WanT,0.9997941,0.6009750499308336
subject_578,CCI_SCMR_STR,Warmup,0.9997941,0.2057324049981485
subject_579,CCI_SCMR_STR,Cooldown,0.9997941,0.8115450459044836
subject_579,CCI_SCMR_STR,SecondThreshold,0.9997941,0.6118519365741805
subject_579,CCI_SCMR_STR,VO2max,0.9997941,0.8309586430663983
subject_579,CCI_SCMR_STR,WanT,0.9997941,0.9215694739722368
subject_579,CCI_SCMR_STR,Warmup,0.9997941,0.5527286340273755
subject_580,CCI_SCMR_STR,Cooldown,0.9997941,0.8640477678991935
subject_580,CCI_SCMR_STR,SecondThreshold,0.9997941,0.7786316869042619
subject_580,CCI_SCMR_STR,VO2max,0.9997941,0.9438973167204388
subject_580,CCI_SCMR_STR,WanT,0.9997941,0.4543048264812721
subject_580,CCI_SCMR_STR,Warmup,0.9997941,0.7006513239765364
subject_581,CCI_SCMR_STR,Cooldown,0.9997941,0.9690500721599812
subject_581,CCI_SCMR_STR,SecondThreshold,0.9997941,0.9216838761899012
subject_581,CCI_SCMR_STR,VO2max,0.9997941,0.8557084154796128
subject_581,CCI_SCMR_STR,WanT,0.9997941,0.4716289317376669
subject_581,CCI_SCMR_STR,Warmup,0.9997941,0.9292100937817956
subject_582,CCI_SCMR_STR,Cooldown,0.9997941,0.6571847211155583
subject_582,CCI_SCMR_STR,SecondThreshold,0.9997941,0.8558558459895252
subject_582,CCI_SCMR_STR,VO2max,0.9997941,0.8774229502573292
subject_582,CCI_SCMR_STR,WanT,0.9997941,0.6571847211155583
subject_582,CCI_SCMR_STR,Warmup,0.9997941,0.753147479073302
subject_583,CCI_SCMR_STR,Cooldown,0.9997941,0.4329593791077632
subject_583,CCI_SCMR_STR,SecondThreshold,0.9997941,0.8076098525706515
subject_583,CCI_SCMR_STR,VO2max,0.9997941,0.9131689300999746
subject_583,CCI_SCMR_STR,WanT,0.9997941,0.296113067932946
subject_583,CCI_SCMR_STR,Warmup,0.9997941,0.3999335472089151
subject_584,CCI_SCMR_STR,Cooldown,0.9997941,0.7344758191096316
subject_584,CCI_SCMR_STR,SecondThreshold,0.9997941,0.8144695107831191
subject_584,CCI_SCMR_STR,VO2max,0.9997941,0.6303998286775538
subject_584,CCI_SCMR_STR,WanT,0.9997941,0.7846924399566935
subject_584,CCI_SCMR_STR,Warmup,0.9997941,0.8553930383826411
subject_585,CCI_SCMR_STR,Cooldown,0.9997941,0.5104610197358305
subject_585,CCI_SCMR_STR,SecondThreshold,0.9997941,0.8430151333707329
subject_585,CCI_SCMR_STR,VO2max,0.9997941,0.6269998717383828
subject_585,CCI_SCMR_STR,WanT,0.9997941,0.2020806893683062
subject_585,CCI_SCMR_STR,Warmup,0.9997941,0.2905332657880715
subject_586,CCI_SCMR_STR,Cooldown,0.9997941,0.5494031760411916
subject_586,CCI_SCMR_STR,SecondThreshold,0.9997941,0.6993133458382264
subject_586,CCI_SCMR_STR,VO2max,0.9997941,0.9066820083309431
subject_586,CCI_SCMR_STR,WanT,0.9997941,0.3327543605580796
