subject,muscle_pair,phase,sec,value
subject_541,CCI_STL_STR,Cooldown,0.9997941,0.9351693437900124
subject_541,CCI_STL_STR,SecondThreshold,0.9997941,0.8880457515102111
subject_541,CCI_STL_STR,VO2max,0.9997941,0.880883830282155
subject_541,CCI_STL_STR,WanT,0.9997941,0.7806852217281584
subject_541,CCI_STL_STR,Warmup,0.9997941,0.8580002013660518
subject_560,CCI_STL_STR,Cooldown,0.9997941,0.772956273896053
subject_560,CCI_STL_STR,SecondThreshold,0.9997941,0.7681409278849808
subject_560,CCI_STL_STR,VO2max,0.9997941,0.8222175990176961
subject_560,CCI_STL_STR,WanT,0.9997941,0.8355294435939843
subject_560,CCI_STL_STR,Warmup,0.9997941,0.8374105816997469
subject_570,CCI_STL_STR,Cooldown,0.9997941,0.7603331811142764
subject_570,CCI_STL_STR,SecondThreshold,0.9997941,0.7949290946543343
subject_570,CCI_STL_STR,VO2max,0.9997941,0.990301113565266
subject_570,CCI_STL_STR,WanT,0.9997941,0.9290079879096697
subject_570,CCI_STL_STR,Warmup,0.9997941,0.9801597617792676
subject_571,CCI_STL_STR,Cooldown,0.9997941,0.5596135901602937
subject_571,CCI_STL_STR,SecondThreshold,0.9997941,0.8382908129372271
subject_571,CCI_STL_STR,VO2max,0.9997941,0.7940595595365846
subject_571,CCI_STL_STR,WanT,0.9997941,0.7611314523053502
subject_571,CCI_STL_STR,Warmup,0.9997941,0.9674692476555266
subject_572,CCI_STL_STR,Cooldown,0.9997941,0.6589458695923384
subject_572,CCI_STL_STR,SecondThreshold,0.9997941,0.8776053047293614
subject_572,CCI_STL_STR,VO2max,0.9997941,0.8664832447715358
subject_572,CCI_STL_STR,WanT,0.9997941,0.6090813660273761
subject_572,CCI_STL_STR,Warmup,0.9997941,0.6555679812444146
subject_573,CCI_STL_STR,Cooldown,0.9997941,0.9748768890246132
subject_573,CCI_STL_STR,SecondThreshold,0.9997941,0.5885413887355669
subject_573,CCI_STL_STR,VO2max,0.9997941,0.1413898612767203
subject_573,CCI_STL_STR,WanT,0.9997941,0.4277767086555808
subject_573,CCI_STL_STR,Warmup,0.9997941,0.878567397701489
subject_574,CCI_STL_STR,Cooldown,0.9997941,0.5679201268633556
subject_574,CCI_STL_STR,SecondThreshold,0.9997941,0.8428967720991065
subject_574,CCI_STL_STR,VO2max,0.9997941,0.9054508571951144
subject_574,CCI_STL_STR,WanT,0.9997941,0.7530803048117353
subject_574,CCI_STL_STR,Warmup,0.9997941,0.9962692418821596
subject_575,CCI_STL_STR,Cooldown,0.9997941,0.8548938219308477
subject_575,CCI_STL_STR,SecondThreshold,0.9997941,0.8177047269245598
subject_575,CCI_STL_STR,VO2max,0.9997941,0.9950269064761704
subject_575,CCI_STL_STR,WanT,0.9997941,0.982084867694462
subject_575,CCI_STL_STR,Warmup,0.9997941,0.8904334250915333
subject_577,CCI_STL_STR,Cooldown,0.9997941,0.8982801270130606
subject_577,CCI_STL_STR,SecondThreshold,0.9997941,0.9751540634392593
subject_577,CCI_STL_STR,VO2max,0.9997941,0.9285095824671716
subject_577,CCI_STL_STR,WanT,0.9997941,0.848751710643552
subject_577,CCI_STL_STR,Warmup,0.9997941,0.7676776019738565
subject_578,CCI_STL_STR,Cooldown,0.9997941,0.5172247718573625
subject_578,CCI_STL_STR,SecondThreshold,0.9997941,0.962816572443398
subject_578,CCI_STL_STR,VO2max,0.9997941,0.8889028005501063
subject_578,CCI_STL_STR,WanT,0.9997941,0.9579194654129066
subject_578,CCI_STL_STR,Warmup,0.9997941,0.7623169209230699
subject_579,CCI_STL_STR,Cooldown,0.9997941,0.6229692894636485
subject_579,CCI_STL_STR,SecondThreshold,0.9997941,0.795124776536781
subject_579,CCI_STL_STR,VO2max,0.9997941,0.9016173358219052
subject_579,CCI_STL_STR,WanT,0.9997941,0.6831835528398648
subject_579,CCI_STL_STR,Warmup,0.9997941,0.9016775933605808
subject_580,CCI_STL_STR,Cooldown,0.9997941,0.582419702896025
subject_580,CCI_STL_STR,SecondThreshold,0.9997941,0.939802295045797
subject_580,CCI_STL_STR,VO2max,0.9997941,0.943268635521596
subject_580,CCI_STL_STR,WanT,0.9997941,0.7627518170014644
subject_580,CCI_STL_STR,Warmup,0.9997941,0.9353270227859476
subject_581,CCI_STL_STR,Cooldown,0.9997941,0.6672569682133092
subject_581,CCI_STL_STR,SecondThreshold,0.9997941,0.9171194742897916
subject_581,CCI_STL_STR,VO2max,0.9997941,0.9675803467262596
subject_581,CCI_STL_STR,WanT,0.9997941,0.91042393939591
subject_581,CCI_STL_STR,Warmup,0.9997941,0.663387152513571
subject_582,CCI_STL_STR,Cooldown,0.9997941,0.8319112454994378
subject_582,CCI_STL_STR,SecondThreshold,0.9997941,0.9846189290101026
subject_582,CCI_STL_STR,VO2max,0.9997941,0.9971932142900596
subject_582,CCI_STL_STR,WanT,0.9997941,0.8319112454994378
subject_582,CCI_STL_STR,Warmup,0.9997941,0.9133824057258192
subject_583,CCI_STL_STR,Cooldown,0.9997941,0.3697365986120761
subject_583,CCI_STL_STR,SecondThreshold,0.9997941,0.4862407135119221
subject_583,CCI_STL_STR,VO2max,0.9997941,0.4826473080887126
subject_583,CCI_STL_STR,WanT,0.9997941,0.9041952300819665
subject_583,CCI_STL_STR,Warmup,0.9997941,0.9006198281365826
subject_584,CCI_STL_STR,Cooldown,0.9997941,0.7780954675347059
subject_584,CCI_STL_STR,SecondThreshold,0.9997941,0.6704006196656135
subject_584,CCI_STL_STR,VO2max,0.9997941,0.9918803893118456
subject_584,CCI_STL_STR,WanT,0.9997941,0.9089681208501492
subject_584,CCI_STL_STR,Warmup,0.9997941,0.855024258181124
subject_585,CCI_STL_STR,Cooldown,0.9997941,0.7857484801496648
subject_585,CCI_STL_STR,SecondThreshold,0.9997941,0.5870686075387843
subject_585,CCI_STL_STR,VO2max,0.9997941,0.6238687520079207
subject_585,CCI_STL_STR,WanT,0.9997941,0.8530423011764999
subject_585,CCI_STL_STR,Warmup,0.9997941,0.8922974654901531
subject_586,CCI_STL_STR,Cooldown,0.9997941,0.610140808676709
subject_586,CCI_STL_STR,SecondThreshold,0.9997941,0.6186390165737261
subject_586,CCI_STL_STR,VO2max,0.9997941,0.8116680013211972
subject_586,CCI_STL_STR,WanT,0.9997941,0.7047710944786133
subject_586,CCI_STL_STR,Warmup,0.9997941,0.5912717510460647
subject_587,CCI_STL_STR,Cooldown,0.9997941,0.9672036500777276
subject_587,CCI_STL_STR,SecondThreshold,0.9997941,0.8052212096602588
subject_587,CCI_STL_STR,VO2max,0.9997941,0.7336307664982638
subject_587,CCI_STL_STR,WanT,0.9997941,0.9133063275844324
subject_587,CCI_STL_STR,Warmup,0.9997941,0.7721249085412333
subject_588,CCI_STL_STR,Cooldown,0.9997941,0.8035416029187165
subject_588,CCI_STL_STR,SecondThreshold,0.9997941,0.4890917538862941
subject_588,CCI_STL_STR,VO2max,0.9997941,0.9567536018634192
subject_588,CCI_STL_STR,WanT,0.9997941,0.8902279933290539
subject_588,CCI_STL_STR,Warmup,0.9997941,0.9122486601972384
subject_590,CCI_STL_STR,Cooldown,0.9997941,0.5014808433970938
subject_590,CCI_STL_STR,SecondThreshold,0.9997941,0.5289669904178566
subject_590,CCI_STL_STR,VO2max,0.9997941,0.9110769489856764
subject_590,CCI_STL_STR,WanT,0.9997941,0.9365252276271028
subject_590,CCI_STL_STR,Warmup,0.9997941,0.7208285852356143
subject_591,CCI_STL_STR,Cooldown,0.9997941,0.989496894924848
subject_591,CCI_STL_STR,SecondThreshold,0.9997941,0.924067702319858
subject_591,CCI_STL_STR,VO2max,0.9997941,0.8896870515363345
subject_591,CCI_STL_STR,WanT,0.9997941,0.7813538716481021
subject_591,CCI_STL_STR,Warmup,0.9997941,0.8930688761646496
subject_594,CCI_STL_STR,Cooldown,0.9997941,0.7994035121329066
subject_594,CCI_STL_STR,SecondThreshold,0.9997941,0.6780418598583272
subject_594,CCI_STL_STR,VO2max,0.9997941,0.9648919324901954
subject_594,CCI_STL_STR,WanT,0.9997941,0.7930773297012943
subject_594,CCI_STL_STR,Warmup,0.9997941,0.8496937528970608
subject_595,CCI_STL_STR,Cooldown,0.9997941,0.9045523877326176
subject_595,CCI_STL_STR,SecondThreshold,0.9997941,0.8231073812511562
subject_595,CCI_STL_STR,VO2max,0.9997941,0.8120059922402304
subject_595,CCI_STL_STR,WanT,0.9997941,0.7494078039750202
subject_595,CCI_STL_STR,Warmup,0.9997941,0.8823274894167619
subject_596,CCI_STL_STR,Cooldown,0.9997941,0.7703797655575993
subject_596,CCI_STL_STR,SecondThreshold,0.9997941,0.7362998497194877
subject_596,CCI_STL_STR,VO2max,0.9997941,0.5889979060087465
subject_596,CCI_STL_STR,WanT,0.9997941,0.8350253473420182
subject_596,CCI_STL_STR,Warmup,0.9997941,0.671349663001375
subject_597,CCI_STL_STR,Cooldown,0.9997941,0.9324838273855256
subject_597,CCI_STL_STR,SecondThreshold,0.9997941,0.9578494808965152
subject_597,CCI_STL_STR,VO2max,0.9997941,0.7581616674765169
subject_597,CCI_STL_STR,WanT,0.9997941,
subject_597,CCI_STL_STR,Warmup,0.9997941,0.770324238065384
subject_598,CCI_STL_STR,Cooldown,0.9997941,0.6571307065278903
subject_598,CCI_STL_STR,SecondThreshold,0.9997941,0.8424143368260232
subject_598,CCI_STL_STR,VO2max,0.9997941,0.7026757458793559
subject_598,CCI_STL_STR,WanT,0.9997941,0.6915836838691594
subject_598,CCI_STL_STR,Warmup,0.9997941,0.8417902776568014
subject_600,CCI_STL_STR,Cooldown,0.9997941,
subject_600,CCI_STL_STR,SecondThreshold,0.9997941,
subject_600,CCI_STL_STR,VO2max,0.9997941,
subject_600,CCI_STL_STR,WanT,0.9997941,
subject_600,CCI_STL_STR,Warmup,0.9997941,
subject_601,CCI_STL_STR,Cooldown,0.9997941,0.7276089536910461
subject_601,CCI_STL_STR,SecondThreshold,0.9997941,0.8927246591964595
