subject,muscle_pair,phase,sec,value
subject_541,CCI_SCML_MTL,Cooldown,0.9997941,0.8215717605534019
subject_541,CCI_SCML_MTL,SecondThreshold,0.9997941,0.8290616047481218
subject_541,CCI_SCML_MTL,VO2max,0.9997941,0.6597606419875912
subject_541,CCI_SCML_MTL,WanT,0.9997941,0.8015784047517565
subject_541,CCI_SCML_MTL,Warmup,0.9997941,0.9175453302008776
subject_560,CCI_SCML_MTL,Cooldown,0.9997941,0.8267923720918161
subject_560,CCI_SCML_MTL,SecondThreshold,0.9997941,0.5970036046937139
subject_560,CCI_SCML_MTL,VO2max,0.9997941,0.7120198880929781
subject_560,CCI_SCML_MTL,WanT,0.9997941,0.9465586717078472
subject_560,CCI_SCML_MTL,Warmup,0.9997941,0.63656308572559
subject_570,CCI_SCML_MTL,Cooldown,0.9997941,0.6725311933096844
subject_570,CCI_SCML_MTL,SecondThreshold,0.9997941,0.766330227024068
subject_570,CCI_SCML_MTL,VO2max,0.9997941,0.9774451180532928
subject_570,CCI_SCML_MTL,WanT,0.9997941,0.7034501244286152
subject_570,CCI_SCML_MTL,Warmup,0.9997941,0.7511526384814943
subject_571,CCI_SCML_MTL,Cooldown,0.9997941,0.4179865454458753
subject_571,CCI_SCML_MTL,SecondThreshold,0.9997941,0.8336866930384896
subject_571,CCI_SCML_MTL,VO2max,0.9997941,0.8573561989259
subject_571,CCI_SCML_MTL,WanT,0.9997941,0.3981095497586563
subject_571,CCI_SCML_MTL,Warmup,0.9997941,0.9334343835051188
subject_572,CCI_SCML_MTL,Cooldown,0.9997941,0.8079466410685164
subject_572,CCI_SCML_MTL,SecondThreshold,0.9997941,0.5564371764672542
subject_572,CCI_SCML_MTL,VO2max,0.9997941,0.6029577369741458
subject_572,CCI_SCML_MTL,WanT,0.9997941,0.9450317494665466
subject_572,CCI_SCML_MTL,Warmup,0.9997941,0.5317725703323434
subject_573,CCI_SCML_MTL,Cooldown,0.9997941,0.8267343586235532
subject_573,CCI_SCML_MTL,SecondThreshold,0.9997941,0.4297568699195475
subject_573,CCI_SCML_MTL,VO2max,0.9997941,0.7947884679526862
subject_573,CCI_SCML_MTL,WanT,0.9997941,0.8499075798615772
subject_573,CCI_SCML_MTL,Warmup,0.9997941,0.6225452906136931
subject_574,CCI_SCML_MTL,Cooldown,0.9997941,0.3457920782530797
subject_574,CCI_SCML_MTL,SecondThreshold,0.9997941,0.9880369360913808
subject_574,CCI_SCML_MTL,VO2max,0.9997941,0.7349692586636926
subject_574,CCI_SCML_MTL,WanT,0.9997941,0.8998177661395218
subject_574,CCI_SCML_MTL,Warmup,0.9997941,0.82834381079224
subject_575,CCI_SCML_MTL,Cooldown,0.9997941,0.8261025350566601
subject_575,CCI_SCML_MTL,SecondThreshold,0.9997941,0.89431017891654
subject_575,CCI_SCML_MTL,VO2max,0.9997941,0.9387237053681294
subject_575,CCI_SCML_MTL,WanT,0.9997941,0.4111389156256796
subject_575,CCI_SCML_MTL,Warmup,0.9997941,0.6230827781552148
subject_577,CCI_SCML_MTL,Cooldown,0.9997941,0.8524096291494198
subject_577,CCI_SCML_MTL,SecondThreshold,0.9997941,0.7133888852489207
subject_577,CCI_SCML_MTL,VO2max,0.9997941,0.5756529665939868
subject_577,CCI_SCML_MTL,WanT,0.9997941,0.7834210323844807
subject_577,CCI_SCML_MTL,Warmup,0.9997941,0.3950730113320517
subject_578,CCI_SCML_MTL,Cooldown,0.9997941,0.2371363068460332
subject_578,CCI_SCML_MTL,SecondThreshold,0.9997941,0.6434409883243681
subject_578,CCI_SCML_MTL,VO2max,0.9997941,0.7540182979375245
subject_578,CCI_SCML_MTL,WanT,0.9997941,0.2985459772549293
subject_578,CCI_SCML_MTL,Warmup,0.9997941,0.92927773434739
subject_579,CCI_SCML_MTL,Cooldown,0.9997941,0.5065722034364283
subject_579,CCI_SCML_MTL,SecondThreshold,0.9997941,0.2695344837158985
subject_579,CCI_SCML_MTL,VO2max,0.9997941,0.2161677514753389
subject_579,CCI_SCML_MTL,WanT,0.9997941,0.2111331469186148
subject_579,CCI_SCML_MTL,Warmup,0.9997941,0.8670880908789532
subject_580,CCI_SCML_MTL,Cooldown,0.9997941,0.3982500383587648
subject_580,CCI_SCML_MTL,SecondThreshold,0.9997941,0.5752380395079806
subject_580,CCI_SCML_MTL,VO2max,0.9997941,0.942318767884488
subject_580,CCI_SCML_MTL,WanT,0.9997941,0.3412526737901753
subject_580,CCI_SCML_MTL,Warmup,0.9997941,0.7199871266142569
subject_581,CCI_SCML_MTL,Cooldown,0.9997941,0.1922487438192375
subject_581,CCI_SCML_MTL,SecondThreshold,0.9997941,0.842207099018749
subject_581,CCI_SCML_MTL,VO2max,0.9997941,0.4964704569056165
subject_581,CCI_SCML_MTL,WanT,0.9997941,0.6671820554640274
subject_581,CCI_SCML_MTL,Warmup,0.9997941,0.9379574382326408
subject_582,CCI_SCML_MTL,Cooldown,0.9997941,0.436246945516825
subject_582,CCI_SCML_MTL,SecondThreshold,0.9997941,0.8388975039824035
subject_582,CCI_SCML_MTL,VO2max,0.9997941,0.9644711833661688
subject_582,CCI_SCML_MTL,WanT,0.9997941,0.436246945516825
subject_582,CCI_SCML_MTL,Warmup,0.9997941,0.6511803841974243
subject_583,CCI_SCML_MTL,Cooldown,0.9997941,0.9160470130097936
subject_583,CCI_SCML_MTL,SecondThreshold,0.9997941,0.902069751237942
subject_583,CCI_SCML_MTL,VO2max,0.9997941,0.8393827894047561
subject_583,CCI_SCML_MTL,WanT,0.9997941,0.3656779183222351
