subject,muscle_pair,phase,sec,value
subject_541,CCI_UTL_MTL,Cooldown,0.9997941,0.8694708820081514
subject_541,CCI_UTL_MTL,SecondThreshold,0.9997941,0.991872389086206
subject_541,CCI_UTL_MTL,VO2max,0.9997941,0.9426644586830064
subject_541,CCI_UTL_MTL,WanT,0.9997941,0.8082481963749866
subject_541,CCI_UTL_MTL,Warmup,0.9997941,0.9803802228041302
subject_560,CCI_UTL_MTL,Cooldown,0.9997941,0.2444934062292105
subject_560,CCI_UTL_MTL,SecondThreshold,0.9997941,0.9411313510678389
subject_560,CCI_UTL_MTL,VO2max,0.9997941,0.6450685619732591
subject_560,CCI_UTL_MTL,WanT,0.9997941,0.9095570689064448
subject_560,CCI_UTL_MTL,Warmup,0.9997941,0.2788136856625906
subject_570,CCI_UTL_MTL,Cooldown,0.9997941,0.9804797809341986
subject_570,CCI_UTL_MTL,SecondThreshold,0.9997941,0.9647540542296116
subject_570,CCI_UTL_MTL,VO2max,0.9997941,0.5616991448453099
subject_570,CCI_UTL_MTL,WanT,0.9997941,0.4160673542216852
subject_570,CCI_UTL_MTL,Warmup,0.9997941,0.7822897159883538
subject_571,CCI_UTL_MTL,Cooldown,0.9997941,0.9337022580936992
subject_571,CCI_UTL_MTL,SecondThreshold,0.9997941,0.8684989034423245
subject_571,CCI_UTL_MTL,VO2max,0.9997941,0.9465859955094652
subject_571,CCI_UTL_MTL,WanT,0.9997941,0.7174925785347467
subject_571,CCI_UTL_MTL,Warmup,0.9997941,0.7998084187977681
subject_572,CCI_UTL_MTL,Cooldown,0.9997941,0.1652033542666477
subject_572,CCI_UTL_MTL,SecondThreshold,0.9997941,0.2367910067107684
subject_572,CCI_UTL_MTL,VO2max,0.9997941,0.1234760135901631
subject_572,CCI_UTL_MTL,WanT,0.9997941,0.2670203115084964
subject_572,CCI_UTL_MTL,Warmup,0.9997941,0.4389441932128529
subject_573,CCI_UTL_MTL,Cooldown,0.9997941,0.7201017891590064
subject_573,CCI_UTL_MTL,SecondThreshold,0.9997941,0.595046152670843
subject_573,CCI_UTL_MTL,VO2max,0.9997941,0.8585759416260883
subject_573,CCI_UTL_MTL,WanT,0.9997941,0.7410815534194547
subject_573,CCI_UTL_MTL,Warmup,0.9997941,0.3691378788302089
subject_574,CCI_UTL_MTL,Cooldown,0.9997941,0.4929535912513142
subject_574,CCI_UTL_MTL,SecondThreshold,0.9997941,0.8099934974976434
subject_574,CCI_UTL_MTL,VO2max,0.9997941,0.8028860521276083
subject_574,CCI_UTL_MTL,WanT,0.9997941,0.2520912608429275
subject_574,CCI_UTL_MTL,Warmup,0.9997941,0.8217560837499732
subject_575,CCI_UTL_MTL,Cooldown,0.9997941,0.9465518018409398
subject_575,CCI_UTL_MTL,SecondThreshold,0.9997941,0.8705690905277068
subject_575,CCI_UTL_MTL,VO2max,0.9997941,0.6096496330723967
subject_575,CCI_UTL_MTL,WanT,0.9997941,0.2832587417269695
subject_575,CCI_UTL_MTL,Warmup,0.9997941,0.2028498962378809
subject_577,CCI_UTL_MTL,Cooldown,0.9997941,0.7680279550855972
subject_577,CCI_UTL_MTL,SecondThreshold,0.9997941,0.2223303244504512
subject_577,CCI_UTL_MTL,VO2max,0.9997941,0.3623361027446794
subject_577,CCI_UTL_MTL,WanT,0.9997941,0.2869525974081995
subject_577,CCI_UTL_MTL,Warmup,0.9997941,0.4322444750756492
subject_578,CCI_UTL_MTL,Cooldown,0.9997941,0.2142101565597285
subject_578,CCI_UTL_MTL,SecondThreshold,0.9997941,0.8775330869399037
subject_578,CCI_UTL_MTL,VO2max,0.9997941,0.7968667658550379
subject_578,CCI_UTL_MTL,WanT,0.9997941,0.6344179053220259
subject_578,CCI_UTL_MTL,Warmup,0.9997941,0.7733195658728418
subject_579,CCI_UTL_MTL,Cooldown,0.9997941,0.1256967723650986
subject_579,CCI_UTL_MTL,SecondThreshold,0.9997941,0.2226186235138455
subject_579,CCI_UTL_MTL,VO2max,0.9997941,0.1180203558883748
subject_579,CCI_UTL_MTL,WanT,0.9997941,0.6270594351093831
subject_579,CCI_UTL_MTL,Warmup,0.9997941,0.3126337036983797
subject_580,CCI_UTL_MTL,Cooldown,0.9997941,0.2585400740468038
subject_580,CCI_UTL_MTL,SecondThreshold,0.9997941,0.7735615496951336
subject_580,CCI_UTL_MTL,VO2max,0.9997941,0.6398169650466728
subject_580,CCI_UTL_MTL,WanT,0.9997941,0.6876262402590031
subject_580,CCI_UTL_MTL,Warmup,0.9997941,0.9879000963726766
subject_581,CCI_UTL_MTL,Cooldown,0.9997941,0.9364524121455132
subject_581,CCI_UTL_MTL,SecondThreshold,0.9997941,0.8184021960783372
subject_581,CCI_UTL_MTL,VO2max,0.9997941,0.9905331414813427
subject_581,CCI_UTL_MTL,WanT,0.9997941,0.8577873879724752
subject_581,CCI_UTL_MTL,Warmup,0.9997941,0.8878756674910164
subject_582,CCI_UTL_MTL,Cooldown,0.9997941,0.747472220916196
subject_582,CCI_UTL_MTL,SecondThreshold,0.9997941,0.8327559812411974
subject_582,CCI_UTL_MTL,VO2max,0.9997941,0.831292000305035
subject_582,CCI_UTL_MTL,WanT,0.9997941,0.747472220916196
subject_582,CCI_UTL_MTL,Warmup,0.9997941,0.991612685405511
subject_583,CCI_UTL_MTL,Cooldown,0.9997941,0.4082907797349034
subject_583,CCI_UTL_MTL,SecondThreshold,0.9997941,0.552576336767557
subject_583,CCI_UTL_MTL,VO2max,0.9997941,0.5116840211046367
subject_583,CCI_UTL_MTL,WanT,0.9997941,0.2068221644718758
subject_583,CCI_UTL_MTL,Warmup,0.9997941,0.8535813252004092
subject_584,CCI_UTL_MTL,Cooldown,0.9997941,0.1225820125656236
subject_584,CCI_UTL_MTL,SecondThreshold,0.9997941,0.3176149978628884
subject_584,CCI_UTL_MTL,VO2max,0.9997941,0.2224779558993027
subject_584,CCI_UTL_MTL,WanT,0.9997941,0.7876888204656063
subject_584,CCI_UTL_MTL,Warmup,0.9997941,0.9877520818500576
subject_585,CCI_UTL_MTL,Cooldown,0.9997941,0.8064273054311989
subject_585,CCI_UTL_MTL,SecondThreshold,0.9997941,0.5419205695804887
subject_585,CCI_UTL_MTL,VO2max,0.9997941,0.4405206687387776
subject_585,CCI_UTL_MTL,WanT,0.9997941,0.5813478218356402
subject_585,CCI_UTL_MTL,Warmup,0.9997941,0.945486736066461
subject_586,CCI_UTL_MTL,Cooldown,0.9997941,0.9933274021188137
subject_586,CCI_UTL_MTL,SecondThreshold,0.9997941,0.9628306230923188
subject_586,CCI_UTL_MTL,VO2max,0.9997941,0.976441288970706
subject_586,CCI_UTL_MTL,WanT,0.9997941,0.5233956242250962
subject_586,CCI_UTL_MTL,Warmup,0.9997941,0.5354982852899418
subject_587,CCI_UTL_MTL,Cooldown,0.9997941,0.8203060709388619
subject_587,CCI_UTL_MTL,SecondThreshold,0.9997941,0.9733269239509112
subject_587,CCI_UTL_MTL,VO2max,0.9997941,0.8829709048392675
subject_587,CCI_UTL_MTL,WanT,0.9997941,0.9408800092834558
subject_587,CCI_UTL_MTL,Warmup,0.9997941,0.8803818402690635
subject_588,CCI_UTL_MTL,Cooldown,0.9997941,0.1274823058334063
subject_588,CCI_UTL_MTL,SecondThreshold,0.9997941,0.447280918294664
subject_588,CCI_UTL_MTL,VO2max,0.9997941,0.1718022128000823
subject_588,CCI_UTL_MTL,WanT,0.9997941,0.6489765011658604
subject_588,CCI_UTL_MTL,Warmup,0.9997941,0.905413351418474
subject_590,CCI_UTL_MTL,Cooldown,0.9997941,0.1833906917824764
subject_590,CCI_UTL_MTL,SecondThreshold,0.9997941,0.4676533197358932
subject_590,CCI_UTL_MTL,VO2max,0.9997941,0.8763413702529432
subject_590,CCI_UTL_MTL,WanT,0.9997941,0.483526763153768
subject_590,CCI_UTL_MTL,Warmup,0.9997941,0.6957462574340961
subject_591,CCI_UTL_MTL,Cooldown,0.9997941,0.4441299186255029
subject_591,CCI_UTL_MTL,SecondThreshold,0.9997941,0.7781936848551972
subject_591,CCI_UTL_MTL,VO2max,0.9997941,0.8372118444805174
subject_591,CCI_UTL_MTL,WanT,0.9997941,0.8337199678342349
subject_591,CCI_UTL_MTL,Warmup,0.9997941,0.9492431719745552
subject_594,CCI_UTL_MTL,Cooldown,0.9997941,0.6127025730487643
subject_594,CCI_UTL_MTL,SecondThreshold,0.9997941,0.8602428690812768
subject_594,CCI_UTL_MTL,VO2max,0.9997941,0.6890485209185304
subject_594,CCI_UTL_MTL,WanT,0.9997941,0.349923445816292
subject_594,CCI_UTL_MTL,Warmup,0.9997941,0.7158937543319247
subject_595,CCI_UTL_MTL,Cooldown,0.9997941,0.9209094489927584
subject_595,CCI_UTL_MTL,SecondThreshold,0.9997941,0.7962300096373048
subject_595,CCI_UTL_MTL,VO2max,0.9997941,0.5811754541404569
subject_595,CCI_UTL_MTL,WanT,0.9997941,0.4456298881909919
subject_595,CCI_UTL_MTL,Warmup,0.9997941,0.8073740566723312
subject_596,CCI_UTL_MTL,Cooldown,0.9997941,0.99101382307829
subject_596,CCI_UTL_MTL,SecondThreshold,0.9997941,0.939342013728892
subject_596,CCI_UTL_MTL,VO2max,0.9997941,0.7216149170115019
subject_596,CCI_UTL_MTL,WanT,0.9997941,0.8908671184073345
subject_596,CCI_UTL_MTL,Warmup,0.9997941,0.979235070523846
subject_597,CCI_UTL_MTL,Cooldown,0.9997941,0.8068204844731239
subject_597,CCI_UTL_MTL,SecondThreshold,0.9997941,0.2386663004778484
subject_597,CCI_UTL_MTL,VO2max,0.9997941,0.1986012293823785
subject_597,CCI_UTL_MTL,WanT,0.9997941,
subject_597,CCI_UTL_MTL,Warmup,0.9997941,0.1963425425328782
subject_598,CCI_UTL_MTL,Cooldown,0.9997941,0.6897611521629831
subject_598,CCI_UTL_MTL,SecondThreshold,0.9997941,0.9109878176886966
subject_598,CCI_UTL_MTL,VO2max,0.9997941,0.1933205104228091
subject_598,CCI_UTL_MTL,WanT,0.9997941,0.5022308813124686
subject_598,CCI_UTL_MTL,Warmup,0.9997941,0.9857279172575468
subject_600,CCI_UTL_MTL,Cooldown,0.9997941,0.5099655152271294
subject_600,CCI_UTL_MTL,SecondThreshold,0.9997941,0.6447740353782914
subject_600,CCI_UTL_MTL,VO2max,0.9997941,0.9513596760598888
subject_600,CCI_UTL_MTL,WanT,0.9997941,0.7927234107853204
subject_600,CCI_UTL_MTL,Warmup,0.9997941,0.7583866450077952
subject_601,CCI_UTL_MTL,Cooldown,0.9997941,0.7643615021355772
subject_601,CCI_UTL_MTL,SecondThreshold,0.9997941,0.9650876011422064
subject_601,CCI_UTL_MTL,VO2max,0.9997941,0.3454528283615908
subject_601,CCI_UTL_MTL,WanT,0.9997941,0.9572885147553232
subject_601,CCI_UTL_MTL,Warmup,0.9997941,0.990167480281763
subject_602,CCI_UTL_MTL,Cooldown,0.9997941,0.6755247690250058
subject_602,CCI_UTL_MTL,SecondThreshold,0.9997941,0.4797193289872026
subject_602,CCI_UTL_MTL,VO2max,0.9997941,0.2784666040582893
subject_602,CCI_UTL_MTL,WanT,0.9997941,0.9003664035089949
subject_602,CCI_UTL_MTL,Warmup,0.9997941,0.9378691340727584
subject_603,CCI_UTL_MTL,Cooldown,0.9997941,0.5203069750642861
subject_603,CCI_UTL_MTL,SecondThreshold,0.9997941,0.190812572917555
subject_603,CCI_UTL_MTL,VO2max,0.9997941,0.5610812881809232
subject_603,CCI_UTL_MTL,WanT,0.9997941,0.4921698734419447
subject_603,CCI_UTL_MTL,Warmup,0.9997941,0.8529522718140201
subject_604,CCI_UTL_MTL,Cooldown,0.9997941,0.9129063232545572
subject_604,CCI_UTL_MTL,SecondThreshold,0.9997941,0.7568157055262124
subject_604,CCI_UTL_MTL,VO2max,0.9997941,0.7794081932697026
subject_604,CCI_UTL_MTL,WanT,0.9997941,0.9751254228801548
subject_604,CCI_UTL_MTL,Warmup,0.9997941,0.4266190435086387
subject_605,CCI_UTL_MTL,Cooldown,0.9997941,0.2907186561484897
subject_605,CCI_UTL_MTL,SecondThreshold,0.9997941,0.2764065231444855
subject_605,CCI_UTL_MTL,VO2max,0.9997941,0.1366725641607935
subject_605,CCI_UTL_MTL,WanT,0.9997941,0.8041144660340868
subject_605,CCI_UTL_MTL,Warmup,0.9997941,0.604226408702433
subject_606,CCI_UTL_MTL,Cooldown,0.9997941,0.6585361544300989
subject_606,CCI_UTL_MTL,SecondThreshold,0.9997941,0.2240935152420505
subject_606,CCI_UTL_MTL,VO2max,0.9997941,0.7491303977246337
subject_606,CCI_UTL_MTL,WanT,0.9997941,0.4650587221583668
subject_606,CCI_UTL_MTL,Warmup,0.9997941,0.8927983564018667
subject_607,CCI_UTL_MTL,Cooldown,0.9997941,0.9660710877956962
subject_607,CCI_UTL_MTL,SecondThreshold,0.9997941,0.5833242231263452
subject_607,CCI_UTL_MTL,VO2max,0.9997941,0.5943777923402216
subject_607,CCI_UTL_MTL,WanT,0.9997941,0.9651418680415068
subject_607,CCI_UTL_MTL,Warmup,0.9997941,0.977474395650582
subject_608,CCI_UTL_MTL,Cooldown,0.9997941,0.8476079250316256
subject_608,CCI_UTL_MTL,SecondThreshold,0.9997941,0.420950659796535
subject_608,CCI_UTL_MTL,VO2max,0.9997941,0.6525726406876263
subject_608,CCI_UTL_MTL,WanT,0.9997941,0.927957632617494
subject_608,CCI_UTL_MTL,Warmup,0.9997941,0.873370099386566
subject_609,CCI_UTL_MTL,Cooldown,0.9997941,0.4243313472219364
subject_609,CCI_UTL_MTL,SecondThreshold,0.9997941,0.7797722633635664
subject_609,CCI_UTL_MTL,VO2max,0.9997941,0.4520758930831483
subject_609,CCI_UTL_MTL,WanT,0.9997941,0.5755924458030796
subject_609,CCI_UTL_MTL,Warmup,0.9997941,0.7794461741169859
subject_610,CCI_UTL_MTL,Cooldown,0.9997941,0.7012672035342149
subject_610,CCI_UTL_MTL,SecondThreshold,0.9997941,0.1981792149710783
subject_610,CCI_UTL_MTL,VO2max,0.9997941,0.5025936168610328
subject_610,CCI_UTL_MTL,WanT,0.9997941,0.7402198041540308
subject_610,CCI_UTL_MTL,Warmup,0.9997941,0.4001813888050775
subject_611,CCI_UTL_MTL,Cooldown,0.9997941,0.6154761356175426
subject_611,CCI_UTL_MTL,SecondThreshold,0.9997941,0.7505943977712094
subject_611,CCI_UTL_MTL,VO2max,0.9997941,0.8027884753095792
subject_611,CCI_UTL_MTL,WanT,0.9997941,0.6966035102651681
subject_611,CCI_UTL_MTL,Warmup,0.9997941,0.5387631318677112
subject_612,CCI_UTL_MTL,Cooldown,0.9997941,0.5069427769065004
subject_612,CCI_UTL_MTL,SecondThreshold,0.9997941,0.4574311716006875
subject_612,CCI_UTL_MTL,VO2max,0.9997941,0.158676542018776
subject_612,CCI_UTL_MTL,WanT,0.9997941,0.7912791167824323
subject_612,CCI_UTL_MTL,Warmup,0.9997941,0.9033444782325888
subject_613,CCI_UTL_MTL,Cooldown,0.9997941,0.7221049994220099
subject_613,CCI_UTL_MTL,SecondThreshold,0.9997941,0.775171520083601
subject_613,CCI_UTL_MTL,VO2max,0.9997941,0.8016245892901054
subject_613,CCI_UTL_MTL,WanT,0.9997941,0.6482761882474818
subject_613,CCI_UTL_MTL,Warmup,0.9997941,0.5599711676544579
subject_614,CCI_UTL_MTL,Cooldown,0.9997941,0.5369870490168653
subject_614,CCI_UTL_MTL,SecondThreshold,0.9997941,0.5365134496854027
subject_614,CCI_UTL_MTL,VO2max,0.9997941,0.4025602847232604
subject_614,CCI_UTL_MTL,WanT,0.9997941,0.3959380717733659
subject_614,CCI_UTL_MTL,Warmup,0.9997941,0.8287777585288418
subject_615,CCI_UTL_MTL,Cooldown,0.9997941,0.6176013895989481
subject_615,CCI_UTL_MTL,SecondThreshold,0.9997941,0.6764875517288609
subject_615,CCI_UTL_MTL,VO2max,0.9997941,0.7656045947243907
subject_615,CCI_UTL_MTL,WanT,0.9997941,0.6895556085790381
subject_615,CCI_UTL_MTL,Warmup,0.9997941,0.9276038284872457
subject_616,CCI_UTL_MTL,Cooldown,0.9997941,0.3306250219695672
subject_616,CCI_UTL_MTL,SecondThreshold,0.9997941,0.8858620051984881
subject_616,CCI_UTL_MTL,VO2max,0.9997941,0.5482108717227304
subject_616,CCI_UTL_MTL,WanT,0.9997941,0.422095922466612
subject_616,CCI_UTL_MTL,Warmup,0.9997941,0.6485017007283252
subject_617,CCI_UTL_MTL,Cooldown,0.9997941,0.4789765128273131
subject_617,CCI_UTL_MTL,SecondThreshold,0.9997941,0.9783366540045728
subject_617,CCI_UTL_MTL,VO2max,0.9997941,0.6103823478823633
subject_617,CCI_UTL_MTL,WanT,0.9997941,0.9222294925255994
subject_617,CCI_UTL_MTL,Warmup,0.9997941,0.810016108596742
subject_618,CCI_UTL_MTL,Cooldown,0.9997941,0.3787532256088643
subject_618,CCI_UTL_MTL,SecondThreshold,0.9997941,0.9033857801080524
subject_618,CCI_UTL_MTL,VO2max,0.9997941,0.1205650891578057
subject_618,CCI_UTL_MTL,WanT,0.9997941,0.3772915238692421
subject_618,CCI_UTL_MTL,Warmup,0.9997941,0.8206563318450673
