subject,muscle_pair,phase,sec,value
subject_541,CCI_UTL_UTR,Cooldown,0.9997941,0.8072331725854199
subject_541,CCI_UTL_UTR,SecondThreshold,0.9997941,0.6890050177014734
subject_541,CCI_UTL_UTR,VO2max,0.9997941,0.6708684553089905
subject_541,CCI_UTL_UTR,WanT,0.9997941,0.8100765088000129
subject_541,CCI_UTL_UTR,Warmup,0.9997941,0.9511821512909852
subject_560,CCI_UTL_UTR,Cooldown,0.9997941,0.6878288315818234
subject_560,CCI_UTL_UTR,SecondThreshold,0.9997941,0.8424586627024233
subject_560,CCI_UTL_UTR,VO2max,0.9997941,0.8543068140470197
subject_560,CCI_UTL_UTR,WanT,0.9997941,0.674687240429847
subject_560,CCI_UTL_UTR,Warmup,0.9997941,0.6411084733119734
subject_570,CCI_UTL_UTR,Cooldown,0.9997941,0.9878961257715994
subject_570,CCI_UTL_UTR,SecondThreshold,0.9997941,0.850717834239776
subject_570,CCI_UTL_UTR,VO2max,0.9997941,0.4620890720533369
subject_570,CCI_UTL_UTR,WanT,0.9997941,0.9032140407499972
subject_570,CCI_UTL_UTR,Warmup,0.9997941,0.7186356446014742
subject_571,CCI_UTL_UTR,Cooldown,0.9997941,0.0
subject_571,CCI_UTL_UTR,SecondThreshold,0.9997941,0.6240692340532714
subject_571,CCI_UTL_UTR,VO2max,0.9997941,0.5104998999758575
subject_571,CCI_UTL_UTR,WanT,0.9997941,0.0
subject_571,CCI_UTL_UTR,Warmup,0.9997941,0.8477427941272246
subject_572,CCI_UTL_UTR,Cooldown,0.9997941,0.9770040209381082
subject_572,CCI_UTL_UTR,SecondThreshold,0.9997941,0.9959342416197762
subject_572,CCI_UTL_UTR,VO2max,0.9997941,0.8690304556294559
subject_572,CCI_UTL_UTR,WanT,0.9997941,0.743430451396261
subject_572,CCI_UTL_UTR,Warmup,0.9997941,0.7023903497089635
subject_573,CCI_UTL_UTR,Cooldown,0.9997941,0.1965687499164555
subject_573,CCI_UTL_UTR,SecondThreshold,0.9997941,0.8993034161743888
subject_573,CCI_UTL_UTR,VO2max,0.9997941,0.3610265447242066
subject_573,CCI_UTL_UTR,WanT,0.9997941,0.4413706638528013
subject_573,CCI_UTL_UTR,Warmup,0.9997941,0.4270321393579417
subject_574,CCI_UTL_UTR,Cooldown,0.9997941,0.3886008768405448
subject_574,CCI_UTL_UTR,SecondThreshold,0.9997941,0.8358956190954281
subject_574,CCI_UTL_UTR,VO2max,0.9997941,0.5414845123186711
subject_574,CCI_UTL_UTR,WanT,0.9997941,0.3662462357804754
subject_574,CCI_UTL_UTR,Warmup,0.9997941,0.8708758520033456
subject_575,CCI_UTL_UTR,Cooldown,0.9997941,0.8296313576027493
subject_575,CCI_UTL_UTR,SecondThreshold,0.9997941,0.8925693633206176
subject_575,CCI_UTL_UTR,VO2max,0.9997941,0.8735674809078879
subject_575,CCI_UTL_UTR,WanT,0.9997941,0.6896401887368354
subject_575,CCI_UTL_UTR,Warmup,0.9997941,0.4590229336667272
