subject,muscle_pair,phase,sec,value
subject_541,CCI_UTR_MTR,Cooldown,0.9997941,0.7549898500814857
subject_541,CCI_UTR_MTR,SecondThreshold,0.9997941,0.7584290806178133
subject_541,CCI_UTR_MTR,VO2max,0.9997941,0.7156908261668244
subject_541,CCI_UTR_MTR,WanT,0.9997941,0.5993930807671622
subject_541,CCI_UTR_MTR,Warmup,0.9997941,0.995679332848366
subject_560,CCI_UTR_MTR,Cooldown,0.9997941,0.440656870345123
subject_560,CCI_UTR_MTR,SecondThreshold,0.9997941,0.998107440507339
subject_560,CCI_UTR_MTR,VO2max,0.9997941,0.5258207865260284
subject_560,CCI_UTR_MTR,WanT,0.9997941,0.4349240922946822
subject_560,CCI_UTR_MTR,Warmup,0.9997941,0.6482441087459493
subject_570,CCI_UTR_MTR,Cooldown,0.9997941,0.9718114362663792
subject_570,CCI_UTR_MTR,SecondThreshold,0.9997941,0.8030306170780341
subject_570,CCI_UTR_MTR,VO2max,0.9997941,0.7257074746475116
subject_570,CCI_UTR_MTR,WanT,0.9997941,0.2881310841953355
subject_570,CCI_UTR_MTR,Warmup,0.9997941,0.7447449130816944
subject_571,CCI_UTR_MTR,Cooldown,0.9997941,0.0
subject_571,CCI_UTR_MTR,SecondThreshold,0.9997941,0.4289455035088339
subject_571,CCI_UTR_MTR,VO2max,0.9997941,0.3936683028248568
subject_571,CCI_UTR_MTR,WanT,0.9997941,0.0
subject_571,CCI_UTR_MTR,Warmup,0.9997941,0.8907671255241466
subject_572,CCI_UTR_MTR,Cooldown,0.9997941,0.2619866629877162
subject_572,CCI_UTR_MTR,SecondThreshold,0.9997941,0.3064220137021333
subject_572,CCI_UTR_MTR,VO2max,0.9997941,0.2339255515603312
subject_572,CCI_UTR_MTR,WanT,0.9997941,0.1990836477338145
subject_572,CCI_UTR_MTR,Warmup,0.9997941,0.8888922495617284
subject_573,CCI_UTR_MTR,Cooldown,0.9997941,0.621888630823006
subject_573,CCI_UTR_MTR,SecondThreshold,0.9997941,0.8421746010569574
subject_573,CCI_UTR_MTR,VO2max,0.9997941,0.6635760742008237
subject_573,CCI_UTR_MTR,WanT,0.9997941,0.4519633374640166
subject_573,CCI_UTR_MTR,Warmup,0.9997941,0.9478958192495056
subject_574,CCI_UTR_MTR,Cooldown,0.9997941,0.5520265291201203
subject_574,CCI_UTR_MTR,SecondThreshold,0.9997941,0.9425408076714816
subject_574,CCI_UTR_MTR,VO2max,0.9997941,0.5254018291532766
subject_574,CCI_UTR_MTR,WanT,0.9997941,0.5242968535316347
subject_574,CCI_UTR_MTR,Warmup,0.9997941,0.9457154084172956
subject_575,CCI_UTR_MTR,Cooldown,0.9997941,0.7123535041564805
subject_575,CCI_UTR_MTR,SecondThreshold,0.9997941,0.9365518752561938
subject_575,CCI_UTR_MTR,VO2max,0.9997941,0.710053562465552
subject_575,CCI_UTR_MTR,WanT,0.9997941,0.9946526363299644
subject_575,CCI_UTR_MTR,Warmup,0.9997941,0.7600277385191492
subject_577,CCI_UTR_MTR,Cooldown,0.9997941,0.2790913184967284
subject_577,CCI_UTR_MTR,SecondThreshold,0.9997941,0.6283189017703912
subject_577,CCI_UTR_MTR,VO2max,0.9997941,0.90195984281196
subject_577,CCI_UTR_MTR,WanT,0.9997941,0.8687853643463703
subject_577,CCI_UTR_MTR,Warmup,0.9997941,0.8299729143287212
subject_578,CCI_UTR_MTR,Cooldown,0.9997941,0.1508513495851835
subject_578,CCI_UTR_MTR,SecondThreshold,0.9997941,0.6015886747344157
subject_578,CCI_UTR_MTR,VO2max,0.9997941,0.9271147710627434
